title,duration,duration_min,release_year,type
Rang De Basanti,159 min,159.0,2006,Movie
Chalte Chalte,166 min,166.0,2003,Movie
Aiyaary,158 min,158.0,2018,Movie
End Game,40 min,40.0,2018,Movie
Pocoyo & Cars,19 min,19.0,2015,Movie
Pocoyo & The Space Circus,25 min,25.0,2008,Movie
Pocoyo Carnival,22 min,22.0,2015,Movie
Pocoyo Halloween: Space Halloween,40 min,40.0,2015,Movie
Pocoyo Halloween: Spooky Movies,22 min,22.0,2014,Movie
Pocoyo Special Sports,24 min,24.0,2016,Movie
"Ram Dass, Going Home",32 min,32.0,2018,Movie
Main Hoon Na,171 min,171.0,2004,Movie
Om Shanti Om,169 min,169.0,2007,Movie
Phir Bhi Dil Hai Hindustani,159 min,159.0,2000,Movie
Ladies First,40 min,40.0,2018,Movie
Dil Se,166 min,166.0,1998,Movie
Swades,185 min,185.0,2004,Movie
Trailer Park Boys: Say Goodnight to the Bad Guys,47 min,47.0,2008,Movie
Trailer Park Boys: Xmas Special,46 min,46.0,2004,Movie
Yuva,160 min,160.0,2004,Movie
The Trader (Sovdagari),24 min,24.0,2018,Movie
Sebastián Marcelo Wainraich,49 min,49.0,2018,Movie
Jaal,162 min,162.0,1986,Movie
Shikari,163 min,163.0,1991,Movie
Trolls Holiday Special,27 min,27.0,2017,Movie
A StoryBots Christmas,26 min,26.0,2017,Movie
DreamWorks Home: For the Holidays,46 min,46.0,2017,Movie
The Hateful Eight,168 min,168.0,2015,Movie
Singapore,158 min,158.0,1960,Movie
Ghost Patrol,47 min,47.0,2016,Movie
Long Shot,40 min,40.0,2017,Movie
Heroin(e),40 min,40.0,2017,Movie
Manoranjan,162 min,162.0,1974,Movie
Mujrim,163 min,163.0,1989,Movie
Resurface,28 min,28.0,2017,Movie
Sohni Mahiwal,160 min,160.0,1984,Movie
Baahubali 2: The Conclusion (Hindi Version),165 min,165.0,2017,Movie
Baahubali 2: The Conclusion (Malayalam Version),166 min,166.0,2017,Movie
Baahubali 2: The Conclusion (Tamil Version),166 min,166.0,2017,Movie
Baahubali: The Beginning (Hindi Version),159 min,159.0,2015,Movie
Baahubali: The Beginning (Malayalam Version),160 min,160.0,2015,Movie
Baahubali: The Beginning (Tamil Version),159 min,159.0,2015,Movie
LEGO Marvel Super Heroes: Avengers Reassembled!,22 min,22.0,2015,Movie
Buddy Thunderstruck: The Maybe Pile,14 min,14.0,2017,Movie
Professor,163 min,163.0,1962,Movie
Dangal,161 min,161.0,2016,Movie
Puss in Book: Trapped in an Epic Tale,24 min,24.0,2017,Movie
The Russian Revolution,47 min,47.0,2017,Movie
Amelia: A Tale of Two Sisters,44 min,44.0,2017,Movie
How to Stage a Coup,47 min,47.0,2017,Movie
Jackie: A Tale of Two Sisters,44 min,44.0,2017,Movie
Michael Lost and Found,19 min,19.0,2017,Movie
Qila,161 min,161.0,1998,Movie
The Mitfords: A Tale of Two Sisters,44 min,44.0,2017,Movie
Chamatkar,164 min,164.0,1992,Movie
English Babu Desi Mem,163 min,163.0,1996,Movie
JFK: The Making of a President,44 min,44.0,2017,Movie
Asoka,168 min,168.0,2001,Movie
One 2 Ka 4,160 min,160.0,2001,Movie
Happy New Year,179 min,179.0,2014,Movie
LEGO: Marvel Super Heroes: Maximum Overload,22 min,22.0,2013,Movie
A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,22 min,22.0,2016,Movie
Ricardo O'Farrill: Abrazo navideño,31 min,31.0,2016,Movie
Mariah Carey's Merriest Christmas,38 min,38.0,2015,Movie
Across Grace Alley,24 min,24.0,2013,Movie
Santa Pac's Merry Berry Day,44 min,44.0,2016,Movie
LEGO Jurassic World: The Indominus Escape,25 min,25.0,2016,Movie
Pac's Scary Halloween,44 min,44.0,2016,Movie
The White Helmets,41 min,41.0,2016,Movie
Extremis,25 min,25.0,2016,Movie
Real Crime: Supermarket Heist (Tesco Bomber),46 min,46.0,2010,Movie
Interview with a Serial Killer,45 min,45.0,2008,Movie
Real Crime: Diamond Geezers,46 min,46.0,2008,Movie
Kung Fu Panda: Secrets of the Scroll,23 min,23.0,2016,Movie
Marco Polo: One Hundred Eyes,29 min,29.0,2015,Movie
Virunga: Gorillas in Peril,29 min,29.0,2015,Movie
BoJack Horseman Christmas Special: Sabrina's Christmas Wish,26 min,26.0,2014,Movie
From One Second to the Next,35 min,35.0,2013,Movie
Splatter,29 min,29.0,2009,Movie
13TH: A Conversation with Oprah Winfrey & Ava DuVernay,37 min,37.0,2017,Movie
A Bridge Too Far,176 min,176.0,1977,Movie
A Russell Peters Christmas,44 min,44.0,2011,Movie
Aarakshan,164 min,164.0,2011,Movie
Abominable Christmas,44 min,44.0,2012,Movie
Alpha and Omega 2: A Howl-iday Adventure,45 min,45.0,2013,Movie
Alpha and Omega: The Legend of the Saw Tooth Cave,45 min,45.0,2014,Movie
Amar Akbar Anthony,172 min,172.0,1977,Movie
American Honey,163 min,163.0,2016,Movie
Auschwitz: Blueprints of Genocide,49 min,49.0,1994,Movie
Barsaat,166 min,166.0,1995,Movie
Benji's Very Own Christmas Story,25 min,25.0,1978,Movie
Blue Is the Warmest Color,180 min,180.0,2013,Movie
Bob's Broken Sleigh,47 min,47.0,2015,Movie
Bobby,168 min,168.0,1973,Movie
Calico Critters: A Town of Dreams,11 min,11.0,2017,Movie
Calico Critters: The Treasure of Calico Village,22 min,22.0,2017,Movie
Cloud Atlas,172 min,172.0,2012,Movie
Cop Watchers,45 min,45.0,2016,Movie
Dear Dracula,43 min,43.0,2012,Movie
Dil Hai Tumhaara,176 min,176.0,2002,Movie
Doctor Zhivago,200 min,200.0,1965,Movie
Dream Big: Engineering Our World,42 min,42.0,2017,Movie
Dum,162 min,162.0,2003,Movie
Elephants Dream 4 Hour,196 min,196.0,2006,Movie
Elles ont toutes une histoire,49 min,49.0,2016,Movie
Famous in Ahmedabad,29 min,29.0,2015,Movie
Fiddler on the Roof,181 min,181.0,1971,Movie
Figaro Pho,29 min,29.0,2008,Movie
Fishpeople,49 min,49.0,2017,Movie
Frozen Planet: On Thin Ice,47 min,47.0,2011,Movie
Gangs of New York,167 min,167.0,2002,Movie
Ghayal,163 min,163.0,1990,Movie
Ghulam-E-Musthafa,161 min,161.0,1997,Movie
Golden Time,22 min,22.0,2013,Movie
Hamara Dil Aapke Paas Hai,158 min,158.0,2000,Movie
Hitler's Olympics,44 min,44.0,2016,Movie
Ho Mann Jahaan,170 min,170.0,2015,Movie
Hum Saath-Saath Hain,176 min,176.0,1999,Movie
Jaan-E-Mann: Let's Fall in Love... Again,163 min,163.0,2006,Movie
Jake's Buccaneer Blast,22 min,22.0,2014,Movie
Jis Desh Men Ganga Behti Hai,181 min,181.0,1960,Movie
Kaalia,173 min,173.0,1981,Movie
Kalki,41 min,41.0,2017,Movie
Khalnayak,170 min,170.0,1993,Movie
Kung Fu Panda: Holiday,26 min,26.0,2010,Movie
Kyun! Ho Gaya Na,165 min,165.0,2004,Movie
LeapFrog: Letter Factory,37 min,37.0,2003,Movie
LeapFrog: Numberland,33 min,33.0,2011,Movie
LeapFrog: Phonics Farm,35 min,35.0,2011,Movie
"LeapFrog: Sing-along, Read-along",32 min,32.0,2011,Movie
LEGO House - Home of the Brick,48 min,48.0,2018,Movie
LEGO Ninjago: Masters of Spinjitzu: Day of the Departed,44 min,44.0,2016,Movie
Little Lunch: The Halloween Horror Story,23 min,23.0,2016,Movie
Little Lunch: The Nightmare Before Graduation,25 min,25.0,2016,Movie
Love Ni Bhavai,163 min,163.0,2017,Movie
Maine Pyar Kiya,192 min,192.0,1989,Movie
Mark Gatiss: A Study in Sherlock,29 min,29.0,2016,Movie
Meet the Trumps: From Immigrant to President,48 min,48.0,2017,Movie
Monster High: Escape from Skull Shores,46 min,46.0,2012,Movie
Monster High: Friday Night Frights,46 min,46.0,2013,Movie
Monster High: Fright On!,46 min,46.0,2011,Movie
Monster High: New Ghoul at School,23 min,23.0,2010,Movie
Monster High: Why Do Ghouls Fall in Love?,46 min,46.0,2013,Movie
Mujhse Shaadi Karogi,158 min,158.0,2004,Movie
Mutiny on the Bounty,185 min,185.0,1962,Movie
Namak Halaal,171 min,171.0,1982,Movie
National Parks Adventure,42 min,42.0,2016,Movie
Natsamrat - Asa Nat Hone Nahi,165 min,165.0,2016,Movie
No Entry,161 min,161.0,2005,Movie
Once Upon a Time in the West,166 min,166.0,1968,Movie
Palm Trees in the Snow,163 min,163.0,2015,Movie
Pardes,187 min,187.0,1997,Movie
Pee-wee's Playhouse: Christmas Special,48 min,48.0,1988,Movie
"Power Rangers Samurai: Christmas Together, Friends Forever (Christmas Special)",24 min,24.0,2011,Movie
Power Rangers Samurai: Clash of the Red Rangers,46 min,46.0,2011,Movie
Power Rangers Samurai: Party Monsters (Halloween Special),24 min,24.0,2011,Movie
Power Rangers Super Samurai: Stuck on Christmas,24 min,24.0,2012,Movie
Power Rangers Super Samurai: Trickster Treat,23 min,23.0,2012,Movie
Power Rangers: Megaforce: Raising Spirits,24 min,24.0,2013,Movie
Power Rangers: Megaforce: The Robo Knight Before Christmas,24 min,24.0,2013,Movie
Pukar,165 min,165.0,2000,Movie
Punjab 1984,158 min,158.0,2014,Movie
Raja Hindustani,177 min,177.0,1996,Movie
Ram Teri Ganga Maili,178 min,178.0,1985,Movie
Refugee,24 min,24.0,2016,Movie
Roberto Saviano: Writing Under Police Protection,45 min,45.0,2016,Movie
Room on the Broom,26 min,26.0,2012,Movie
Sairat,173 min,173.0,2016,Movie
San Pietro,32 min,32.0,1945,Movie
Sangam,228 min,228.0,1964,Movie
Schindler's List,195 min,195.0,1993,Movie
Shakti: The Power,168 min,168.0,2002,Movie
Shiva,168 min,168.0,1990,Movie
Shopkins: Chef Club,45 min,45.0,2016,Movie
Skydancers,49 min,49.0,2014,Movie
Taal,177 min,177.0,1999,Movie
Tayo the Little Bus Movie: Mission Ace,48 min,48.0,2016,Movie
The Battle of Midway,18 min,18.0,1942,Movie
The First Temptation of Christ,46 min,46.0,2019,Movie
The Girl with the Dragon Tattoo,158 min,158.0,2011,Movie
The Gospel of John,161 min,161.0,2014,Movie
The Gospel of Luke,205 min,205.0,2015,Movie
The Gospel of Matthew,190 min,190.0,2014,Movie
The Great Gambler,161 min,161.0,1979,Movie
The Last Hangover,44 min,44.0,2018,Movie
The Lord of the Rings: The Return of the King,201 min,201.0,2003,Movie
The Lord of the Rings: The Two Towers,179 min,179.0,2002,Movie
"The Memphis Belle: A Story of a
Flying Fortress",40 min,40.0,1944,Movie
The Negro Soldier,40 min,40.0,1944,Movie
The Search for Life in Space,32 min,32.0,2016,Movie
The Sinking Of Van Der Wijck,163 min,163.0,2013,Movie
The Women Who Kill Lions,47 min,47.0,2016,Movie
Thunderbolt,42 min,42.0,1947,Movie
Trimurti,173 min,173.0,1995,Movie
Tukaram,162 min,162.0,2012,Movie
Under an Arctic Sky,40 min,40.0,2017,Movie
"We, the Marines",38 min,38.0,2017,Movie
World's Weirdest Homes,49 min,49.0,2015,Movie
WWII: Report from the Aleutians,45 min,45.0,1943,Movie
Wyatt Earp,191 min,191.0,1994,Movie
Yaadein,171 min,171.0,2001,Movie
Zodiac,158 min,158.0,2007,Movie
